Subject_ID,Montage,Analysis,ROI_Mean,ROI_Max,ROI_Min,ROI_Focality,Grey_Mean,Grey_Max,Grey_Min,Normal_Mean,Normal_Max,Normal_Min,Normal_Focality,ROI_Mean_STD,ROI_Max_STD,ROI_Min_STD,ROI_Focality_STD,Normal_Mean_STD,Normal_Max_STD,Normal_Min_STD,Normal_Focality_STD
sub-101,ernie_L_insula,region_lh.insula,0.299309,0.402511,0.219218,1.321738,0.226451,0.613524,0.034847,0.204329,0.357435,0.000492,1.980117,-0.325094,-0.956919,-0.437148,-1.468522,-0.256188,-0.609170,0.205487,-1.271725
sub-102,ernie_L_insula,region_lh.insula,0.278223,0.404517,0.184411,1.351843,0.205811,0.505739,0.033128,0.188181,0.334519,0.000441,2.073790,-0.899942,-0.915900,-1.552023,-0.974693,-0.916730,-1.065248,0.069556,-0.329605
sub-103,ernie_L_insula,region_lh.insula,0.285577,0.409305,0.208611,1.422925,0.200697,0.708752,0.034495,0.187498,0.356558,0.000431,2.062012,-0.699459,-0.818029,-0.776898,0.191315,-0.944669,-0.626617,0.041422,-0.448060
sub-106,ernie_L_insula,region_lh.insula,0.270846,0.398571,0.204671,1.424221,0.190171,0.553363,0.027467,0.191938,0.326820,0.001393,2.119407,-1.101082,-1.037442,-0.903091,0.212568,-0.763030,-1.218476,2.607328,0.129190
sub-107,ernie_L_insula,region_lh.insula,0.315311,0.475080,0.244621,1.596104,0.197551,0.532652,0.027767,0.216666,0.421327,0.000078,2.387143,0.111176,0.526516,0.376509,3.032060,0.248412,0.662428,-0.897114,2.821953
sub-108,ernie_L_insula,region_lh.insula,0.333692,0.475420,0.256202,1.420647,0.234887,0.603114,0.045569,0.231187,0.406303,0.000521,2.166513,0.612270,0.533474,0.747441,0.153950,0.842375,0.363407,0.282568,0.602957
sub-109,ernie_L_insula,region_lh.insula,0.342988,0.474225,0.252012,1.337088,0.256519,0.630986,0.034201,0.220557,0.407594,0.000091,1.940053,0.865709,0.509046,0.613238,-1.216722,0.407586,0.389101,-0.864671,-1.674668
sub-110,ernie_L_insula,region_lh.insula,0.318085,0.459220,0.247833,1.422237,0.223651,0.712972,0.040801,0.202874,0.381861,0.000114,2.011802,0.186786,0.202313,0.479383,0.180027,-0.315729,-0.123039,-0.802176,-0.953048
sub-111,ernie_L_insula,region_lh.insula,0.277560,0.394402,0.213310,1.394393,0.199054,0.488047,0.037604,0.196061,0.330712,0.000253,2.145741,-0.918027,-1.122662,-0.626379,-0.276710,-0.594395,-1.141012,-0.431016,0.394043
sub-112,ernie_L_insula,region_lh.insula,0.271157,0.363551,0.211806,1.384471,0.195856,0.518846,0.019262,0.179386,0.319251,0.000406,2.014758,-1.092605,-1.753325,-0.674569,-0.439476,-1.276488,-1.369132,-0.024031,-0.923318
sub-114,ernie_L_insula,region_lh.insula,0.322517,0.456653,0.243206,1.388320,0.232308,0.832304,0.037981,0.220145,0.432277,0.000176,2.090024,0.307625,0.149851,0.331181,-0.376330,0.390747,0.880350,-0.636571,-0.166327
sub-115,ernie_L_insula,region_lh.insula,0.248004,0.355721,0.185232,1.416045,0.175138,0.478785,0.026769,0.174610,0.311747,0.000498,2.108689,-1.723808,-1.913377,-1.525723,0.078458,-1.471831,-1.518463,0.220192,0.021394
sub-116,ernie_L_insula,region_lh.insula,0.336401,0.494923,0.227781,1.542638,0.218069,0.783882,0.027070,0.245540,0.440137,0.000142,2.337503,0.686140,0.932138,-0.162882,2.155026,1.429476,1.036783,-0.728243,2.322701
sub-117,ernie_L_insula,region_lh.insula,0.247687,0.394490,0.185608,1.369775,0.180823,0.456691,0.021257,0.176616,0.314401,0.001126,2.211264,-1.732434,-1.120878,-1.513686,-0.680543,-1.389765,-1.465645,1.895481,1.053045
sub-118,ernie_L_insula,region_lh.insula,0.269058,0.382254,0.220626,1.372092,0.196093,0.451237,0.029884,0.186357,0.328794,0.000474,2.156561,-1.149826,-1.370996,-0.392054,-0.642532,-0.991345,-1.179202,0.156941,0.502864
sub-119,ernie_L_insula,region_lh.insula,0.333434,0.470963,0.248263,1.431026,0.233004,0.740702,0.037074,0.217280,0.412512,0.000561,2.046688,0.605246,0.442354,0.493136,0.324194,0.273526,0.486992,0.387687,-0.602189
sub-120,ernie_L_insula,region_lh.insula,0.348347,0.502706,0.268502,1.480183,0.235340,0.854013,0.036289,0.238434,0.438588,0.000299,2.196520,1.011809,1.091246,1.141414,1.130544,1.138800,1.005957,-0.308175,0.904752
sub-121,ernie_L_insula,region_lh.insula,0.298651,0.461680,0.237841,1.333436,0.223971,0.636274,0.035865,0.196295,0.363926,0.000545,1.986143,-0.343041,0.252594,0.159344,-1.276633,-0.584844,-0.479983,0.345198,-1.211122
sub-122,ernie_L_insula,region_lh.insula,0.327573,0.445539,0.252904,1.363684,0.240212,0.649431,0.047495,0.225340,0.430654,0.000189,2.084876,0.445457,-0.077344,0.641789,-0.780455,0.603236,0.848062,-0.602614,-0.218110
sub-123,ernie_L_insula,region_lh.insula,0.269940,0.440735,0.214455,1.369150,0.197159,0.525007,0.030262,0.184959,0.326794,0.000333,2.093838,-1.125782,-0.175542,-0.589725,-0.690792,-1.048530,-1.218996,-0.219272,-0.127974
sub-124,ernie_L_insula,region_lh.insula,0.315866,0.441051,0.226540,1.435340,0.220063,0.623995,0.048941,0.189439,0.357549,0.000462,1.913344,0.126289,-0.169082,-0.202633,0.394966,-0.865272,-0.606895,0.125067,-1.943293
sub-125,ernie_L_insula,region_lh.insula,0.306200,0.444570,0.228204,1.379747,0.221924,0.596732,0.040237,0.208117,0.378927,0.000135,2.102391,-0.137239,-0.097147,-0.149348,-0.516958,-0.101248,-0.181428,-0.746449,-0.041946
sub-127,ernie_L_insula,region_lh.insula,0.325459,0.463141,0.244944,1.414611,0.230070,0.568748,0.028461,0.218438,0.445965,0.000106,2.149748,0.387832,0.282466,0.386825,0.054935,0.320896,1.152784,-0.823300,0.434342
sub-128,ernie_L_insula,region_lh.insula,0.358262,0.483826,0.263129,1.443944,0.248114,0.686390,0.046158,0.246560,0.446113,0.000103,2.197362,1.282127,0.705309,0.969306,0.536099,1.471195,1.155737,-0.831052,0.913229
sub-129,ernie_L_insula,region_lh.insula,0.282412,0.409748,0.217888,1.336404,0.211322,0.511149,0.035543,0.189433,0.376245,0.000274,2.000879,-0.785751,-0.808967,-0.479763,-1.227938,-0.865524,-0.234804,-0.376745,-1.062913
sub-130,ernie_L_insula,region_lh.insula,0.324138,0.498139,0.244837,1.396141,0.232167,0.677547,0.040061,0.230189,0.445855,0.001252,2.172089,0.351797,0.997880,0.383410,-0.248035,0.801576,1.150597,2.231728,0.659042
sub-131,ernie_L_insula,region_lh.insula,0.330098,0.460875,0.228829,1.433749,0.230234,0.779583,0.038652,0.215615,0.409408,0.001084,2.038201,0.514295,0.236147,-0.129324,0.368866,0.205431,0.425217,1.783434,-0.687541
sub-132,ernie_L_insula,region_lh.insula,0.302230,0.501127,0.200389,1.410363,0.214293,0.603670,0.037262,0.199684,0.435806,0.001409,2.018751,-0.245448,1.058959,-1.040254,-0.014752,-0.446225,0.950588,2.649105,-0.883165
sub-133,ernie_L_insula,region_lh.insula,0.361317,0.464943,0.297651,1.356242,0.266410,0.779326,0.036051,0.254245,0.416425,0.000109,2.122787,1.365397,0.319309,2.075033,-0.902534,1.785549,0.564860,-0.814733,0.163185
sub-134,ernie_L_insula,region_lh.insula,0.306819,0.469423,0.219862,1.396291,0.219738,0.671293,0.048892,0.201567,0.363537,0.000168,2.073621,-0.120363,0.410877,-0.416537,-0.245585,-0.369187,-0.487735,-0.657695,-0.331307
sub-136,ernie_L_insula,region_lh.insula,0.408924,0.573339,0.320995,1.533382,0.266681,0.903027,0.055170,0.263374,0.512174,0.000095,2.188147,2.663301,2.535105,2.822757,2.003194,2.158946,2.470501,-0.854164,0.820541
sub-137,ernie_L_insula,region_lh.insula,0.367613,0.531585,0.256519,1.404339,0.261769,0.726717,0.047372,0.245574,0.441249,0.000501,2.139414,1.537054,1.681586,0.757582,-0.113561,1.430881,1.058927,0.229301,0.330409
sub-139,ernie_L_insula,region_lh.insula,0.307205,0.428087,0.228708,1.485093,0.206859,0.700429,0.046931,0.214877,0.389114,0.000468,2.231083,-0.109829,-0.434103,-0.133200,1.211091,0.175241,0.021311,0.139936,1.252370
sub-140,ernie_L_insula,region_lh.insula,0.304753,0.453588,0.219223,1.350623,0.225639,0.711369,0.045998,0.214556,0.365748,0.000100,2.114566,-0.176679,0.087189,-0.437008,-0.994697,0.162122,-0.443720,-0.839213,0.080497
sub-141,ernie_L_insula,region_lh.insula,0.268882,0.371162,0.211265,1.421886,0.189102,0.492277,0.031901,0.172667,0.334749,0.000292,2.004294,-1.154625,-1.597727,-0.691895,0.174274,-1.551325,-1.060670,-0.326934,-1.028562
sub-142,ernie_L_insula,region_lh.insula,0.373588,0.525014,0.294712,1.496833,0.249586,1.018519,0.045007,0.249435,0.455636,0.000041,2.164220,1.699953,1.547255,1.980920,1.403672,1.588798,1.345251,-0.998188,0.579902
sub-ernie,ernie_L_insula,region_lh.insula,0.277516,0.442857,0.185251,1.379698,0.201143,0.587840,0.023573,0.193908,0.340882,0.000194,2.098454,-0.919230,-0.132176,-1.525129,-0.517770,-0.682466,-0.938618,-0.588071,-0.081543
AVERAGE,ALL,SUMMARY,0.311234,0.449323,0.232867,1.411262,0.220483,0.646350,0.036792,0.210593,0.388043,0.000415,2.106562,0.036680,0.048920,0.031221,0.060962,0.024448,0.050245,0.000375,0.099428
