Subject_ID,Montage,Analysis,ROI_Mean,ROI_Max,ROI_Min,ROI_Focality,Grey_Mean,Grey_Max,Grey_Min,Normal_Mean,Normal_Max,Normal_Min,Normal_Focality,ROI_Mean_STD,ROI_Max_STD,ROI_Min_STD,ROI_Focality_STD,Normal_Mean_STD,Normal_Max_STD,Normal_Min_STD,Normal_Focality_STD
sub-101,ernie_L_insula_Normal,region_lh.insula,0.298175,0.421148,0.217187,1.457088,0.204637,0.585542,0.033696,0.212502,0.359907,0.000011,2.216710,-0.091795,-0.433336,-0.155906,-0.946429,-0.118855,-0.415434,-0.819262,-1.219783
sub-102,ernie_L_insula_Normal,region_lh.insula,0.267870,0.410792,0.170450,1.445763,0.185279,0.516946,0.032780,0.190958,0.324912,0.000167,2.294002,-0.889426,-0.638225,-1.600740,-1.108397,-0.940169,-1.102728,-0.344693,-0.467827
sub-103,ernie_L_insula_Normal,region_lh.insula,0.279353,0.413236,0.197663,1.478234,0.188978,0.735350,0.042171,0.196669,0.354584,0.000052,2.217041,-0.587176,-0.589857,-0.759471,-0.643993,-0.722448,-0.519987,-0.696115,-1.216556
sub-106,ernie_L_insula_Normal,region_lh.insula,0.267825,0.417398,0.184216,1.533217,0.174682,0.583187,0.032932,0.197751,0.350238,0.000994,2.324354,-0.890611,-0.507530,-1.175197,0.142376,-0.681213,-0.605330,2.172526,-0.172542
sub-107,ernie_L_insula_Normal,region_lh.insula,0.298252,0.440458,0.225425,1.662701,0.179378,0.518507,0.026580,0.214924,0.409627,0.000166,2.548002,-0.089763,-0.051296,0.098761,1.994278,-0.026511,0.561026,-0.349439,2.003263
sub-108,ernie_L_insula_Normal,region_lh.insula,0.325125,0.474021,0.248918,1.527176,0.212893,0.597833,0.044432,0.238234,0.394538,0.000316,2.415654,0.617542,0.612714,0.825031,0.055989,0.862130,0.264696,0.106928,0.715689
sub-109,ernie_L_insula_Normal,region_lh.insula,0.339959,0.490887,0.259934,1.452129,0.234111,0.663242,0.057538,0.232741,0.417835,0.000320,2.183656,1.007980,0.946402,1.165594,-1.017348,0.652741,0.722226,0.118907,-1.541350
sub-110,ernie_L_insula_Normal,region_lh.insula,0.311698,0.458075,0.247970,1.548373,0.201307,0.717619,0.028590,0.210714,0.381276,0.000016,2.260854,0.264153,0.297237,0.795721,0.359145,-0.187000,0.004223,-0.806131,-0.790319
sub-111,ernie_L_insula_Normal,region_lh.insula,0.266865,0.389051,0.198512,1.494555,0.178558,0.498115,0.027907,0.199446,0.314524,0.000544,2.358152,-0.915866,-1.068352,-0.733224,-0.410572,-0.616597,-1.306741,0.801125,0.156274
sub-112,ernie_L_insula_Normal,region_lh.insula,0.264839,0.366550,0.200475,1.519343,0.174311,0.479529,0.031561,0.184276,0.325799,0.000186,2.268252,-0.969212,-1.513498,-0.672540,-0.056038,-1.194892,-1.085308,-0.288891,-0.718340
sub-114,ernie_L_insula_Normal,region_lh.insula,0.301873,0.461366,0.213585,1.530981,0.197176,0.612419,0.039229,0.216180,0.377524,0.000073,2.349851,0.005552,0.362348,-0.267245,0.110408,0.021368,-0.069449,-0.632856,0.075510
sub-115,ernie_L_insula_Normal,region_lh.insula,0.235565,0.330596,0.178388,1.529970,0.153967,0.473815,0.025355,0.174449,0.300487,0.000042,2.345549,-1.739694,-2.224820,-1.355360,0.095940,-1.569548,-1.582415,-0.726662,0.033654
sub-116,ernie_L_insula_Normal,region_lh.insula,0.332238,0.506322,0.218474,1.681115,0.197630,0.782331,0.022914,0.251556,0.434032,0.000037,2.573006,0.804780,1.251754,-0.116133,2.257641,1.370009,1.040332,-0.740071,2.246524
