Subject_ID,Montage,Analysis,ROI_Mean,ROI_Max,ROI_Min,ROI_Focality,Grey_Mean,Grey_Max,Grey_Min,Normal_Mean,Normal_Max,Normal_Min,Normal_Focality,ROI_Mean_STD,ROI_Max_STD,ROI_Min_STD,ROI_Focality_STD,Normal_Mean_STD,Normal_Max_STD,Normal_Min_STD,Normal_Focality_STD
sub-101,flex_lh_DK40_35_mean_normalTI_mapped,region_lh.insula,0.300307,0.405430,0.215253,1.382593,0.217206,0.595763,0.036369,0.211869,0.381028,0.000499,2.083013,-0.301677,-1.036448,-0.407009,-1.220972,-0.171125,-0.295583,0.279462,-1.029933
sub-102,flex_lh_DK40_35_mean_normalTI_mapped,region_lh.insula,0.278031,0.404958,0.191742,1.285139,0.216343,0.560597,0.044265,0.196122,0.381211,0.000026,1.980826,-0.899477,-1.045300,-1.161638,-2.228665,-0.795124,-0.291453,-0.870115,-1.684749
sub-103,flex_lh_DK40_35_mean_normalTI_mapped,region_lh.insula,0.298388,0.441799,0.212301,1.540760,0.193663,0.543206,0.049893,0.199821,0.365860,0.000431,2.196690,-0.353163,-0.355088,-0.501753,0.414512,-0.648557,-0.637112,0.113401,-0.301491
sub-106,flex_lh_DK40_35_mean_normalTI_mapped,region_lh.insula,0.270778,0.389255,0.203068,1.497986,0.180762,0.567422,0.032169,0.200676,0.354629,0.000910,2.283135,-1.094102,-1.339492,-0.798106,-0.027788,-0.614678,-0.889999,1.277870,0.252454
sub-107,flex_lh_DK40_35_mean_normalTI_mapped,region_lh.insula,0.312533,0.502719,0.235298,1.690205,0.184908,0.747393,0.034647,0.217781,0.402549,0.001011,2.505527,0.026426,0.786229,0.236372,1.959801,0.063151,0.189013,1.522279,1.677547
sub-108,flex_lh_DK40_35_mean_normalTI_mapped,region_lh.insula,0.334120,0.470308,0.256565,1.419743,0.235338,0.809951,0.038678,0.235725,0.402638,0.002159,2.149816,0.605721,0.179006,0.918988,-0.836831,0.774201,0.191012,4.311438,-0.601857
sub-109,flex_lh_DK40_35_mean_normalTI_mapped,region_lh.insula,0.334062,0.468138,0.250438,1.470358,0.227198,0.609316,0.042151,0.224649,0.391425,0.000382,2.214105,0.604169,0.138362,0.722321,-0.313458,0.335292,-0.061456,-0.003705,-0.189894
sub-110,flex_lh_DK40_35_mean_normalTI_mapped,region_lh.insula,0.314829,0.480692,0.248253,1.463829,0.215072,0.774618,0.037414,0.207012,0.375107,0.000374,2.047172,0.088036,0.373549,0.652195,-0.380972,-0.363595,-0.428898,-0.024079,-1.259607
sub-111,flex_lh_DK40_35_mean_normalTI_mapped,region_lh.insula,0.273836,0.399338,0.193343,1.346762,0.203329,0.782237,0.023288,0.203444,0.346142,0.000201,2.098346,-1.012046,-1.150583,-1.110249,-1.591473,-0.504997,-1.081118,-0.445101,-0.931681
sub-112,flex_lh_DK40_35_mean_normalTI_mapped,region_lh.insula,0.268767,0.380576,0.204374,1.479271,0.181689,0.507910,0.026892,0.179047,0.340124,0.000028,2.080786,-1.148077,-1.502082,-0.756187,-0.221304,-1.471761,-1.216615,-0.863853,-1.044205
sub-114,flex_lh_DK40_35_mean_normalTI_mapped,region_lh.insula,0.326863,0.494518,0.245770,1.451803,0.225143,0.791285,0.033498,0.231156,0.465801,0.000002,2.179948,0.410978,0.632578,0.572485,-0.505320,0.593166,1.613275,-0.927638,-0.408770
sub-115,flex_lh_DK40_35_mean_normalTI_mapped,region_lh.insula,0.254456,0.377736,0.189059,1.532373,0.166054,0.522284,0.028126,0.185642,0.318158,0.000281,2.319408,-1.532114,-1.555290,-1.247741,0.327782,-1.210411,-1.711232,-0.250287,0.484893
sub-116,flex_lh_DK40_35_mean_normalTI_mapped,region_lh.insula,0.343731,0.563908,0.228516,1.604823,0.214186,0.809343,0.035870,0.253085,0.440137,0.000128,2.359373,0.863648,1.932583,0.018685,1.076933,1.462108,1.035387,-0.622136,0.740987
sub-117,flex_lh_DK40_35_mean_normalTI_mapped,region_lh.insula,0.251674,0.445950,0.178733,1.684988,0.149363,0.506782,0.025344,0.181018,0.364447,0.000391,2.761580,-1.606776,-0.277334,-1.579167,1.905858,-1.393668,-0.668928,0.017671,3.318340
sub-118,flex_lh_DK40_35_mean_normalTI_mapped,region_lh.insula,0.278337,0.383653,0.229222,1.385126,0.200947,0.451190,0.029884,0.198231,0.331474,0.000014,2.152833,-0.891256,-1.444443,0.041365,-1.194783,-0.711568,-1.411399,-0.898051,-0.582527
