Subject_ID,Montage,Analysis,ROI_Mean,ROI_Max,ROI_Min,ROI_Focality,Grey_Mean,Grey_Max,Grey_Min,Normal_Mean,Normal_Max,Normal_Min,Normal_Focality,ROI_Mean_STD,ROI_Max_STD,ROI_Min_STD,ROI_Focality_STD,Normal_Mean_STD,Normal_Max_STD,Normal_Min_STD,Normal_Focality_STD
sub-101,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.304578,0.424408,0.216741,1.400827,0.217427,0.573856,0.037086,0.217573,0.369659,0.000413,2.129252,-0.322676,-0.813604,-0.464816,-1.016190,-0.290109,-0.643714,0.363217,-0.878376
sub-102,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.289020,0.422533,0.196613,1.322602,0.218524,0.697750,0.046236,0.204045,0.387578,0.000168,1.998777,-0.706972,-0.846795,-1.047689,-1.851003,-0.769087,-0.282951,-0.336584,-1.725557
sub-103,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.313248,0.467433,0.218517,1.561998,0.200543,0.687322,0.049044,0.210530,0.394034,0.000079,2.216176,-0.108519,-0.051968,-0.413400,0.703793,-0.539467,-0.152969,-0.591326,-0.313970
sub-106,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.268586,0.400917,0.204878,1.493204,0.179872,0.573745,0.032589,0.201438,0.345769,0.000139,2.257756,-1.211690,-1.229428,-0.808337,-0.030359,-0.861381,-1.124698,-0.420030,-0.043992
sub-107,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.322997,0.510180,0.232955,1.686719,0.191494,0.664621,0.028137,0.231466,0.433516,0.000171,2.531456,0.132275,0.704736,0.004698,2.034792,0.201775,0.641931,-0.326514,1.733157
sub-108,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.352340,0.525070,0.261305,1.472223,0.239325,0.707031,0.039695,0.256394,0.424262,0.000195,2.280519,0.857061,0.968313,0.825638,-0.254269,1.084358,0.455615,-0.259272,0.103811
sub-109,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.320126,0.445130,0.247793,1.447234,0.221198,0.582550,0.032956,0.221612,0.379951,0.000070,2.215920,0.061349,-0.446772,0.434354,-0.520943,-0.147110,-0.436510,-0.617115,-0.315631
sub-110,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.318992,0.478452,0.251607,1.506012,0.211813,0.707141,0.040647,0.215862,0.391484,0.000305,2.161896,0.033352,0.143096,0.544820,0.106319,-0.350679,-0.204305,0.055898,-0.666416
sub-111,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.281649,0.412708,0.199232,1.363165,0.206614,0.778625,0.024045,0.210947,0.350670,0.000179,2.112365,-0.889026,-1.020711,-0.971854,-1.418120,-0.524719,-1.026023,-0.303868,-0.988022
sub-112,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.273335,0.391325,0.205573,1.490535,0.183380,0.499516,0.023402,0.191131,0.338463,0.000127,2.228565,-1.094400,-1.399238,-0.788224,-0.058844,-1.226309,-1.271783,-0.453426,-0.233527
sub-114,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.320180,0.459889,0.235372,1.459638,0.219355,0.748162,0.033359,0.231478,0.431737,0.000333,2.239947,0.062682,-0.185522,0.074680,-0.388574,0.202203,0.606116,0.136856,-0.159626
sub-115,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.251946,0.367064,0.185101,1.545202,0.163050,0.495300,0.022162,0.187266,0.330683,0.000033,2.387756,-1.622719,-1.828707,-1.381054,0.524547,-1.363140,-1.428435,-0.721914,0.800104
sub-116,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.346430,0.561372,0.232971,1.564864,0.221380,0.858083,0.018331,0.263247,0.460520,0.001328,2.350035,0.711072,1.610938,0.005169,0.734382,1.326984,1.185613,2.981666,0.555185
sub-117,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.247843,0.419994,0.172260,1.652675,0.149965,0.482635,0.023065,0.183720,0.348229,0.000900,2.734253,-1.724047,-0.891734,-1.752886,1.671482,-1.488682,-1.075170,1.756897,3.049929
sub-118,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.274079,0.384644,0.224456,1.364881,0.200808,0.486754,0.035306,0.197928,0.332458,0.000072,2.109618,-1.076018,-1.517509,-0.241404,-1.399806,-0.985641,-1.392685,-0.611811,-1.005857
sub-119,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.332707,0.471590,0.247039,1.455417,0.228599,0.826970,0.047829,0.230408,0.399335,0.000607,2.147411,0.372109,0.021620,0.412536,-0.433619,0.164331,-0.046243,0.919437,-0.760468
sub-120,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.373879,0.558337,0.281315,1.508145,0.247906,1.269203,0.035069,0.265016,0.478591,0.000508,2.183992,1.389070,1.557214,1.405076,0.129085,1.389610,1.549445,0.636589,-0.522946
sub-121,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.308214,0.465569,0.246745,1.385564,0.222446,0.631648,0.037792,0.215604,0.371838,0.000251,2.118355,-0.232877,-0.084968,0.404015,-1.179076,-0.359811,-0.599849,-0.098923,-0.949129
sub-122,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.331941,0.452787,0.246174,1.439820,0.230543,0.632580,0.056421,0.238597,0.432884,0.000162,2.258041,0.353183,-0.311230,0.387491,-0.600068,0.454258,0.629214,-0.353510,-0.042138
sub-123,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.280967,0.478337,0.221085,1.496109,0.187799,0.534141,0.042786,0.201894,0.348541,0.000142,2.302002,-0.905871,0.141056,-0.339047,0.000636,-0.845240,-1.068890,-0.409460,0.243304
sub-124,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.325479,0.485182,0.229431,1.741433,0.186903,0.711243,0.042425,0.203619,0.385412,0.000158,2.370591,0.193579,0.262223,-0.097354,2.618693,-0.784145,-0.326553,-0.364286,0.688650
sub-125,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.306950,0.467845,0.218955,1.489525,0.206073,0.584055,0.026254,0.224714,0.389229,0.000538,2.402756,-0.264086,-0.044679,-0.400702,-0.069623,-0.037271,-0.249714,0.722403,0.897504
sub-127,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.331487,0.472940,0.234326,1.620143,0.204603,0.692879,0.028187,0.235230,0.453798,0.000065,2.563124,0.341973,0.045510,0.044402,1.324307,0.335046,1.050288,-0.631212,1.938781
sub-128,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.367364,0.492279,0.268825,1.499277,0.245028,0.667744,0.051054,0.267411,0.460750,0.000040,2.315323,1.228160,0.387847,1.043400,0.034451,1.474431,1.190238,-0.703182,0.329797
sub-129,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.296302,0.436771,0.225789,1.356083,0.218498,0.560317,0.056021,0.207224,0.382620,0.000120,2.042125,-0.527100,-0.594757,-0.202815,-1.493693,-0.656519,-0.382771,-0.472670,-1.444096
sub-130,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.332295,0.498964,0.252984,1.428564,0.232608,0.883788,0.038820,0.243620,0.441467,0.000085,2.162663,0.361941,0.506195,0.584674,-0.720190,0.632091,0.802013,-0.572951,-0.661437
sub-131,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.343971,0.498977,0.234395,1.547836,0.222227,0.822996,0.034487,0.235649,0.431708,0.000093,2.214000,0.650344,0.506416,0.046388,0.552656,0.349882,0.605542,-0.551897,-0.328098
sub-132,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.307974,0.506325,0.206891,1.416579,0.217407,0.557317,0.049187,0.213082,0.417375,0.000016,2.059756,-0.238794,0.636502,-0.750064,-0.848089,-0.449104,0.316957,-0.771945,-1.329616
sub-133,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.359154,0.503312,0.281317,1.457890,0.246352,0.720373,0.046729,0.260598,0.404335,0.000017,2.311883,1.025352,0.583164,1.405153,-0.407223,1.233218,0.054427,-0.767288,0.307460
sub-134,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.309294,0.487324,0.218742,1.433895,0.215702,0.752620,0.048520,0.213900,0.372404,0.000011,2.167684,-0.206195,0.300133,-0.406884,-0.663300,-0.420154,-0.588444,-0.786435,-0.628830
sub-136,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.420972,0.599110,0.332244,1.621978,0.259542,0.926943,0.059169,0.285706,0.528363,0.000033,2.363265,2.552277,2.278971,2.879868,1.343892,2.122168,2.551516,-0.722760,0.641084
sub-137,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.389714,0.561062,0.279418,1.535752,0.253761,0.993931,0.053201,0.270678,0.486625,0.001522,2.347161,1.780214,1.605442,1.350140,0.423697,1.590095,1.711197,3.535443,0.536519
sub-139,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.315901,0.430794,0.234854,1.501750,0.210355,0.647363,0.041018,0.232939,0.388163,0.000809,2.273679,-0.043010,-0.700554,0.059681,0.060841,0.253911,-0.271169,1.496060,0.059400
sub-140,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.308928,0.470077,0.205289,1.451511,0.212832,0.655378,0.059234,0.226034,0.394502,0.000269,2.262111,-0.215231,-0.005165,-0.796451,-0.475307,0.009450,-0.143545,-0.047431,-0.015711
sub-141,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.257844,0.376139,0.191894,1.487292,0.173365,0.508516,0.042464,0.172038,0.342923,0.000050,2.094486,-1.477036,-1.668053,-1.184331,-0.093459,-1.902308,-1.181990,-0.674619,-1.104111
sub-142,flex_lh_DK40_35_mean_normalTI_optimized,region_lh.insula,0.396487,0.577514,0.299722,1.608330,0.246521,1.105977,0.049152,0.282990,0.486451,0.000295,2.425738,1.947511,1.896683,1.938104,1.198247,2.025994,1.707687,0.027711,1.046725
