Subject_ID,Montage,Analysis,ROI_Mean,ROI_Max,ROI_Min,ROI_Focality,Grey_Mean,Grey_Max,Grey_Min,Normal_Mean,Normal_Max,Normal_Min,Normal_Focality,ROI_Mean_STD,ROI_Max_STD,ROI_Min_STD,ROI_Focality_STD,Normal_Mean_STD,Normal_Max_STD,Normal_Min_STD,Normal_Focality_STD
sub-101,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.333154,0.398297,0.244144,1.330265,0.250442,0.753201,0.048379,0.154058,0.333860,0.000574,1.420936,0.252451,-0.038236,-0.281839,-0.551250,-0.004704,-0.334709,1.286563,-0.506580
sub-102,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.257525,0.301611,0.181399,1.297810,0.198431,0.516709,0.036279,0.127183,0.277821,0.000016,1.451371,-1.498056,-1.760091,-1.872534,-0.915170,-1.074095,-1.401269,-1.273563,-0.335383
sub-103,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.292452,0.334186,0.220836,1.464569,0.199685,0.486240,0.041598,0.132854,0.284602,0.000309,1.542007,-0.689642,-1.179980,-0.872729,0.954713,-0.848425,-1.272210,0.071216,0.174428
sub-106,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.253928,0.317890,0.206002,1.232177,0.206081,0.552960,0.036296,0.119057,0.281960,0.000090,1.261165,-1.581322,-1.470181,-1.248797,-1.651125,-1.397446,-1.322492,-0.932051,-1.405268
sub-107,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.330601,0.400722,0.255162,1.597530,0.206945,0.817391,0.040876,0.174792,0.353046,0.000355,1.921678,0.193344,0.004951,-0.002502,2.445613,0.820371,0.030454,0.279937,2.310032
sub-108,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.356012,0.429054,0.293588,1.421166,0.250507,0.695640,0.060486,0.176031,0.367162,0.000411,1.596940,0.781522,0.509502,0.971674,0.468030,0.869678,0.299112,0.537737,0.483420
sub-109,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.373786,0.449943,0.309798,1.354548,0.275949,0.699772,0.045989,0.161704,0.393751,0.000144,1.369481,1.192916,0.881519,1.382616,-0.278964,0.299547,0.805169,-0.687453,-0.796005
sub-110,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.340235,0.413600,0.278024,1.403150,0.242479,0.676165,0.035096,0.144398,0.337284,0.000417,1.373594,0.416332,0.234283,0.577092,0.266019,-0.389074,-0.269547,0.566613,-0.772872
sub-111,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.299586,0.369501,0.229592,1.310905,0.228534,0.610506,0.043425,0.153217,0.332463,0.000564,1.527229,-0.524520,-0.551054,-0.650760,-0.768341,-0.038131,-0.361288,1.237650,0.091303
sub-112,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.291842,0.356218,0.231130,1.419272,0.205628,0.595822,0.047522,0.119345,0.306128,0.000452,1.334943,-0.703761,-0.787614,-0.611760,0.446795,-1.385984,-0.862516,0.725974,-0.990280
sub-114,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.318796,0.393722,0.237490,1.237651,0.257582,0.724104,0.054770,0.141229,0.318916,0.000461,1.263910,-0.079883,-0.119715,-0.450533,-1.589736,-0.515169,-0.619132,0.767200,-1.389829
sub-115,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.259214,0.315040,0.196670,1.336770,0.193910,0.553495,0.051782,0.131192,0.282069,0.000047,1.512533,-1.458980,-1.520950,-1.485387,-0.478304,-0.914583,-1.320419,-1.132937,0.008644
sub-116,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.290870,0.351059,0.205534,1.235513,0.235424,0.681812,0.063700,0.173117,0.308450,0.000137,1.603007,-0.726273,-0.879492,-1.260681,-1.613711,0.753727,-0.818326,-0.716155,0.517548
sub-117,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.260356,0.313078,0.210337,1.388339,0.187531,0.516780,0.041106,0.107992,0.267977,0.000486,1.342812,-1.432539,-1.555892,-1.138914,0.099935,-1.837760,-1.588613,0.879426,-0.946018
sub-118,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.256925,0.342565,0.205965,1.256773,0.204432,0.524287,0.034311,0.120907,0.333354,0.000203,1.360034,-1.511962,-1.030755,-1.249755,-1.375325,-1.323838,-0.344333,-0.414614,-0.849144
sub-119,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.375932,0.455626,0.296752,1.457926,0.257854,0.734924,0.050293,0.161368,0.378475,0.000367,1.399781,1.242570,0.982713,1.051883,0.880223,0.286207,0.514432,0.336297,-0.625572
sub-120,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.326572,0.396981,0.260361,1.288697,0.253412,0.914133,0.054237,0.150227,0.352635,0.000013,1.351540,0.100084,-0.061679,0.129306,-1.017358,-0.157119,0.022618,-1.285993,-0.896922
sub-121,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.321096,0.400843,0.263719,1.391617,0.230736,0.772196,0.028010,0.175865,0.346496,0.000214,1.763352,-0.026641,0.007109,0.214431,0.136699,0.863082,-0.094210,-0.363567,1.419467
sub-122,ernie_sphere,sphere_x-36.1_y14.14_z0.33_r10.0,0.366210,0.438686,0.292435,1.380233,0.265325,0.716340,0.047194,0.187718,0.398872,0.000002,1.628778,1.017547,0.681038,0.942438,0.009046,1.334705,0.902627,-1.338925,0.662506
