Subject_ID,Montage,Analysis,ROI_Mean,ROI_Max,ROI_Min,ROI_Focality,Grey_Mean,Grey_Max,Grey_Min,Normal_Mean,Normal_Max,Normal_Min,Normal_Focality,ROI_Mean_STD,ROI_Max_STD,ROI_Min_STD,ROI_Focality_STD,Normal_Mean_STD,Normal_Max_STD,Normal_Min_STD,Normal_Focality_STD
sub-101,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.348278,0.400869,0.306932,1.369447,0.000000,0.000000,0.000000,0.222155,0.360360,0.071631,1.925747,0.248589,0.647657,0.093296,-0.551948,2.027574,0.999248,2.191507,1.896212
sub-102,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.298484,0.315250,0.270837,1.411832,0.000000,0.000000,0.000000,0.113763,0.280007,0.000391,1.184384,-0.967736,-1.196140,-0.876647,-0.087936,-1.163087,-0.696740,-0.495797,-0.939888
sub-103,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.331950,0.364510,0.300144,1.606263,0.206660,0.549779,0.049087,0.140307,0.299291,0.001023,1.513054,-0.150242,-0.135330,-0.089095,2.040560,-0.381711,-0.289726,-0.471953,0.317445
sub-106,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.277560,0.312223,0.254127,1.374986,0.000000,0.000000,0.000000,0.118619,0.236120,0.007409,1.248412,-1.478859,-1.261310,-1.325695,-0.491307,-1.020152,-1.623061,-0.231052,-0.694948
sub-107,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.285549,0.322225,0.260256,1.385314,0.000000,0.000000,0.000000,0.126060,0.273490,0.001788,1.342600,-1.283703,-1.045927,-1.160975,-0.378240,-0.801120,-0.834291,-0.443085,-0.334631
sub-108,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.357799,0.405314,0.327859,1.386358,0.000000,0.000000,0.000000,0.216089,0.366864,0.012328,1.870789,0.481178,0.743363,0.655658,-0.366814,1.849029,1.136538,-0.045507,1.685966
sub-109,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.336588,0.367088,0.292430,1.319216,0.000000,0.000000,0.000000,0.145924,0.291746,0.003123,1.278823,-0.036960,-0.079821,-0.296399,-1.101844,-0.216394,-0.448966,-0.392730,-0.578610
sub-110,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.362488,0.384714,0.327775,1.475999,0.000000,0.000000,0.000000,0.145150,0.311390,0.001665,1.338165,0.595719,0.299754,0.653414,0.614514,-0.239177,-0.034349,-0.447719,-0.351595
sub-111,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.309954,0.335091,0.271608,1.322692,0.000000,0.000000,0.000000,0.111197,0.269148,0.000909,1.044030,-0.687553,-0.768864,-0.855944,-1.063787,-1.238612,-0.925954,-0.476254,-1.476815
sub-112,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.346128,0.364671,0.313341,1.678985,0.000000,0.000000,0.000000,0.130670,0.315673,0.000161,1.423295,0.196074,-0.131862,0.265538,2.836676,-0.665417,0.056048,-0.504473,-0.025930
sub-114,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.371028,0.390713,0.342427,1.382241,0.000000,0.000000,0.000000,0.208878,0.356724,0.027976,1.721960,0.804312,0.428941,1.047145,-0.411880,1.636754,0.922505,0.544777,1.116619
sub-115,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.279539,0.302346,0.244417,1.400699,0.000000,0.000000,0.000000,0.115999,0.220901,0.002824,1.276516,-1.430505,-1.474025,-1.586630,-0.209812,-1.097272,-1.944285,-0.404012,-0.587435
sub-116,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.348254,0.407799,0.298189,1.424185,0.000000,0.000000,0.000000,0.162322,0.357984,0.005098,1.435533,0.248008,0.796890,-0.141645,0.047287,0.266311,0.949106,-0.318211,0.020885
sub-117,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.286199,0.319802,0.262576,1.513208,0.000000,0.000000,0.000000,0.150463,0.246284,0.067019,1.820735,-1.267813,-1.098106,-1.098650,1.021854,-0.082768,-1.408527,2.017542,1.494484
sub-118,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.279159,0.304299,0.248119,1.344101,0.000000,0.000000,0.000000,0.143741,0.281819,0.000077,1.542654,-1.439785,-1.431950,-1.487135,-0.829410,-0.280654,-0.658509,-0.507620,0.430679
sub-119,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.352322,0.385593,0.320288,1.421528,0.000000,0.000000,0.000000,0.123525,0.343440,0.001846,1.095410,0.347377,0.318686,0.452207,0.018204,-0.875724,0.642118,-0.440902,-1.280262
sub-120,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.382717,0.401332,0.360868,1.502612,0.000000,0.000000,0.000000,0.161364,0.380504,0.001941,1.400421,1.089853,0.657617,1.542709,0.905857,0.238118,1.424441,-0.437314,-0.113433
sub-121,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.373091,0.391651,0.347835,1.463389,0.000000,0.000000,0.000000,0.174507,0.353483,0.000737,1.599726,0.854713,0.449147,1.192476,0.476477,0.624997,0.854114,-0.482720,0.649010
sub-122,ernie_sphere_5mm,sphere_x36.10_y14.14_z0.33_r5.0,0.355800,0.403903,0.322415,1.312551,0.000000,0.000000,0.000000,0.143637,0.357561,0.000236,1.169929,0.432332,0.712998,0.509363,-1.174809,-0.283697,0.940174,-0.501626,-0.995187
