Subject_ID,Montage,Analysis,ROI_Mean,ROI_Max,ROI_Min,ROI_Focality,Grey_Mean,Grey_Max,Grey_Min,Normal_Mean,Normal_Max,Normal_Min,Normal_Focality,ROI_Mean_STD,ROI_Max_STD,ROI_Min_STD,ROI_Focality_STD,Normal_Mean_STD,Normal_Max_STD,Normal_Min_STD,Normal_Focality_STD
sub-101,flex_spherical_x36.1y14.14z0.33r5.0_mean_maxTI_optimized,sphere_x36.10_y14.14_z0.33_r5.0,0.358065,0.411190,0.298234,1.385378,0.000000,0.000000,0.000000,0.152636,0.321305,0.002452,1.287211,0.172441,0.454636,-0.238975,-1.007245,0.301144,0.330865,-0.414936,-0.077434
sub-102,flex_spherical_x36.1y14.14z0.33r5.0_mean_maxTI_optimized,sphere_x36.10_y14.14_z0.33_r5.0,0.331170,0.344014,0.295261,1.673859,0.000000,0.000000,0.000000,0.095902,0.234282,0.001259,1.064113,-0.407321,-0.771510,-0.309400,0.787982,-0.868045,-1.062467,-0.453587,-0.616216
sub-103,flex_spherical_x36.1y14.14z0.33r5.0_mean_maxTI_optimized,sphere_x36.10_y14.14_z0.33_r5.0,0.254407,0.286621,0.224038,1.845012,0.137889,0.517381,0.035415,0.100955,0.229587,0.001054,1.612333,-2.062085,-1.819074,-1.997009,1.853069,-0.763903,-1.137633,-0.460210,0.707735
sub-106,flex_spherical_x36.1y14.14z0.33r5.0_mean_maxTI_optimized,sphere_x36.10_y14.14_z0.33_r5.0,0.291360,0.319139,0.259551,1.359414,0.000000,0.000000,0.000000,0.081635,0.207379,0.000073,0.799339,-1.265487,-1.225532,-1.155551,-1.168817,-1.162056,-1.493217,-0.491971,-1.255645
sub-107,flex_spherical_x36.1y14.14z0.33r5.0_mean_maxTI_optimized,sphere_x36.10_y14.14_z0.33_r5.0,0.291312,0.311780,0.265066,1.579197,0.000000,0.000000,0.000000,0.104949,0.216355,0.000854,1.204672,-1.266532,-1.359863,-1.024881,0.198894,-0.681603,-1.349503,-0.466672,-0.276766
sub-108,flex_spherical_x36.1y14.14z0.33r5.0_mean_maxTI_optimized,sphere_x36.10_y14.14_z0.33_r5.0,0.366021,0.416506,0.336523,1.379613,0.000000,0.000000,0.000000,0.224996,0.377615,0.011019,1.833857,0.343949,0.551661,0.668272,-1.043120,1.792373,1.232460,-0.137558,1.242714
sub-109,flex_spherical_x36.1y14.14z0.33r5.0_mean_maxTI_optimized,sphere_x36.10_y14.14_z0.33_r5.0,0.377709,0.422434,0.344397,1.394656,0.000000,0.000000,0.000000,0.118477,0.298365,0.000225,0.974527,0.595905,0.659871,0.854847,-0.949507,-0.402812,-0.036433,-0.487051,-0.832567
sub-110,flex_spherical_x36.1y14.14z0.33r5.0_mean_maxTI_optimized,sphere_x36.10_y14.14_z0.33_r5.0,0.353759,0.372906,0.320577,1.533668,0.000000,0.000000,0.000000,0.132027,0.293070,0.000438,1.256074,0.079608,-0.244148,0.290438,-0.084433,-0.123574,-0.121199,-0.480154,-0.152631
sub-111,flex_spherical_x36.1y14.14z0.33r5.0_mean_maxTI_optimized,sphere_x36.10_y14.14_z0.33_r5.0,0.320812,0.345639,0.256896,1.481769,0.000000,0.000000,0.000000,0.085784,0.212123,0.001298,0.838476,-0.630600,-0.741848,-1.218461,-0.407403,-1.076551,-1.417261,-0.452293,-1.161128
sub-112,flex_spherical_x36.1y14.14z0.33r5.0_mean_maxTI_optimized,sphere_x36.10_y14.14_z0.33_r5.0,0.362243,0.385333,0.323035,1.746576,0.000000,0.000000,0.000000,0.104344,0.305544,0.000384,1.126558,0.262493,-0.017319,0.348680,1.240502,-0.694071,0.078522,-0.481888,-0.465412
