Subject_ID,Montage,Analysis,ROI_Mean,ROI_Max,ROI_Min,ROI_Focality,Grey_Mean,Grey_Max,Grey_Min,Normal_Mean,Normal_Max,Normal_Min,Normal_Focality,ROI_Mean_STD,ROI_Max_STD,ROI_Min_STD,ROI_Focality_STD,Normal_Mean_STD,Normal_Max_STD,Normal_Min_STD,Normal_Focality_STD
sub-101,flex_lh_DK40_35_mean_maxTI_mapped,region_lh.insula,0.300860,0.405445,0.215246,1.343299,0.223971,0.789641,0.037296,0.210276,0.381028,0.000499,2.013639,-0.501501,-1.072206,-0.785955,-0.878722,0.425932,-0.224652,0.766160,0.275192
sub-102,flex_lh_DK40_35_mean_maxTI_mapped,region_lh.insula,0.279243,0.405750,0.190120,1.340491,0.208314,0.562419,0.045792,0.180833,0.326466,0.000051,1.934000,-1.084762,-1.066607,-1.581657,-0.914602,-0.561296,-1.445964,-0.572527,-0.058919
sub-103,flex_lh_DK40_35_mean_maxTI_mapped,region_lh.insula,0.302935,0.411618,0.225293,1.470740,0.205975,0.946731,0.027936,0.187366,0.364238,0.000066,1.994237,-0.445492,-0.958795,-0.467801,0.749601,-0.342237,-0.600473,-0.530268,0.193797
sub-106,flex_lh_DK40_35_mean_maxTI_mapped,region_lh.insula,0.268031,0.411413,0.201080,1.478125,0.181332,0.595931,0.030279,0.193110,0.340258,0.000341,2.225480,-1.387290,-0.962573,-1.234578,0.843966,-0.149643,-1.137243,0.293545,1.163931
sub-107,flex_lh_DK40_35_mean_maxTI_mapped,region_lh.insula,0.330152,0.505177,0.250885,1.588903,0.207786,0.564350,0.046472,0.220483,0.440658,0.000142,2.354510,0.288876,0.759879,0.342657,2.259389,0.768192,1.110106,-0.300549,1.705248
sub-108,flex_lh_DK40_35_mean_maxTI_mapped,region_lh.insula,0.337761,0.509920,0.261289,1.425684,0.236912,0.738618,0.039763,0.231139,0.409376,0.000240,2.197537,0.494187,0.846999,0.672115,0.173918,1.125465,0.409897,-0.007272,1.046698
sub-109,flex_lh_DK40_35_mean_maxTI_mapped,region_lh.insula,0.341447,0.470527,0.275437,1.280092,0.266736,0.613760,0.043091,0.176813,0.383012,0.000042,1.545910,0.593650,0.123353,1.120154,-1.686330,-0.696077,-0.180235,-0.600782,-1.687073
sub-110,flex_lh_DK40_35_mean_maxTI_mapped,region_lh.insula,0.328302,0.482450,0.251946,1.430112,0.229564,0.730372,0.038242,0.207857,0.383876,0.000114,1.946670,0.238946,0.342378,0.376245,0.230496,0.344823,-0.160899,-0.385012,-0.005763
sub-111,flex_lh_DK40_35_mean_maxTI_mapped,region_lh.insula,0.290855,0.393110,0.229407,1.265923,0.229758,0.693903,0.065977,0.182542,0.348797,0.000309,1.716138,-0.771442,-1.298791,-0.337513,-1.867374,-0.504002,-0.946093,0.199215,-0.972913
sub-112,flex_lh_DK40_35_mean_maxTI_mapped,region_lh.insula,0.284395,0.391149,0.227652,1.371904,0.207299,0.679676,0.057255,0.149352,0.351098,0.000510,1.673785,-0.945762,-1.334825,-0.393095,-0.513237,-1.616862,-0.894598,0.798526,-1.150596
sub-114,flex_lh_DK40_35_mean_maxTI_mapped,region_lh.insula,0.316153,0.473929,0.235298,1.427959,0.221402,0.776555,0.051254,0.213003,0.427633,0.000098,2.100846,-0.088860,0.185847,-0.150974,0.202992,0.517362,0.818566,-0.432506,0.641052
sub-115,flex_lh_DK40_35_mean_maxTI_mapped,region_lh.insula,0.250362,0.365325,0.188895,1.426808,0.175470,0.458468,0.035212,0.162531,0.292166,0.000045,1.996188,-1.864054,-1.809201,-1.620447,0.188274,-1.174966,-2.213718,-0.591604,0.201978
sub-116,flex_lh_DK40_35_mean_maxTI_mapped,region_lh.insula,0.343731,0.563908,0.228516,1.604823,0.214186,0.809343,0.035870,0.253085,0.440137,0.000128,2.359373,0.655270,1.838769,-0.365743,2.462807,1.861317,1.098438,-0.344000,1.725652
sub-117,flex_lh_DK40_35_mean_maxTI_mapped,region_lh.insula,0.260486,0.457367,0.184377,1.558488,0.167140,0.518885,0.034444,0.171654,0.373101,0.000011,2.210300,-1.590880,-0.118400,-1.763529,1.870778,-0.869056,-0.402074,-0.692628,1.100245
