Subject_ID,Montage,Analysis,ROI_Mean,ROI_Max,ROI_Min,ROI_Focality,Grey_Mean,Grey_Max,Grey_Min,Normal_Mean,Normal_Max,Normal_Min,Normal_Focality,ROI_Mean_STD,ROI_Max_STD,ROI_Min_STD,ROI_Focality_STD,Normal_Mean_STD,Normal_Max_STD,Normal_Min_STD,Normal_Focality_STD
sub-101,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.295254,0.409863,0.215399,1.352132,0.218362,0.821997,0.045492,0.210339,0.362756,0.000058,2.025392,-0.724443,-1.083210,-0.844029,-0.748620,0.149031,-0.759323,-0.557317,0.299051
sub-102,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.282910,0.412998,0.191595,1.346736,0.210071,0.565948,0.047766,0.187328,0.337562,0.000131,1.958584,-1.038190,-1.026509,-1.578538,-0.818906,-0.573656,-1.303100,-0.364591,0.012004
sub-103,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.299720,0.422821,0.217971,1.521544,0.196984,0.942583,0.031148,0.186065,0.368388,0.000094,2.078593,-0.610949,-0.848846,-0.764669,1.458063,-0.613320,-0.637754,-0.460268,0.527632
sub-106,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.270566,0.401409,0.206680,1.460780,0.185220,0.588847,0.031381,0.199678,0.355378,0.000239,2.214996,-1.351947,-1.236117,-1.113083,0.666569,-0.185782,-0.918554,-0.079601,1.113701
sub-107,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.321857,0.502388,0.236872,1.585425,0.203010,0.651387,0.052338,0.215731,0.442306,0.000064,2.240546,-0.048290,0.590232,-0.181474,2.290142,0.318356,0.957688,-0.540366,1.223480
sub-108,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.341690,0.491282,0.263640,1.409346,0.242445,0.782170,0.041717,0.241373,0.410542,0.000491,2.123493,0.455787,0.389367,0.644456,-0.003378,1.123679,0.272091,0.585354,0.720548
sub-109,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.348371,0.486822,0.276322,1.310387,0.265854,0.636108,0.051133,0.184216,0.395259,0.000221,1.595595,0.625615,0.308700,1.035786,-1.292373,-0.671374,-0.057781,-0.126213,-1.547604
sub-110,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.338914,0.489573,0.259547,1.402097,0.241719,0.770072,0.046668,0.215575,0.386483,0.000455,1.894649,0.385229,0.358450,0.518173,-0.097803,0.313465,-0.247187,0.490793,-0.262697
sub-111,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.310381,0.430220,0.244402,1.295049,0.239667,0.714736,0.073038,0.203854,0.370605,0.000194,1.804017,-0.339976,-0.715029,0.050877,-1.492157,-0.054636,-0.589902,-0.197423,-0.652105
sub-112,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.299588,0.415970,0.239307,1.369793,0.218710,0.771669,0.061198,0.158685,0.373620,0.000080,1.660432,-0.614309,-0.972761,-0.106332,-0.518582,-1.473200,-0.524820,-0.498254,-1.269030
sub-114,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.312236,0.450980,0.232254,1.371230,0.227705,0.888366,0.046910,0.218204,0.433100,0.000707,2.066501,-0.292837,-0.339553,-0.323972,-0.499856,0.396051,0.758982,1.155732,0.475678
sub-115,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.252154,0.368744,0.187692,1.408791,0.178986,0.481526,0.036356,0.171053,0.306868,0.000333,1.983465,-1.819907,-1.826893,-1.698977,-0.010605,-1.084774,-1.965606,0.167970,0.118910
sub-116,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.360171,0.581791,0.238472,1.545705,0.233014,0.971211,0.019290,0.272904,0.470910,0.000187,2.306624,0.925515,2.026334,-0.132110,1.772768,2.113929,1.575083,-0.217064,1.507386
sub-117,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.264151,0.464124,0.188018,1.616258,0.163434,0.530499,0.032141,0.182808,0.383305,0.000016,2.346847,-1.514980,-0.101826,-1.688918,2.691759,-0.715609,-0.315794,-0.668066,1.680207
sub-118,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.265051,0.357513,0.221141,1.459554,0.181597,0.413449,0.029474,0.184975,0.325303,0.000112,2.334194,-1.492118,-2.030020,-0.666885,0.650613,-0.647540,-1.567706,-0.413257,1.625845
sub-119,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.357509,0.513042,0.275564,1.325392,0.269738,0.856175,0.051429,0.160080,0.433126,0.000060,1.355312,0.857865,0.782921,1.012378,-1.096929,-1.429379,0.759557,-0.552513,-2.580004
sub-120,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.369277,0.520313,0.269101,1.451977,0.254327,0.906378,0.050203,0.239591,0.432443,0.000219,2.007340,1.156979,0.914428,0.812977,0.551913,1.067714,0.744804,-0.131445,0.221491
sub-121,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.308665,0.476351,0.239878,1.408192,0.219192,0.790191,0.037316,0.200180,0.371348,0.000307,2.067777,-0.383592,0.119313,-0.088737,-0.018410,-0.170012,-0.573860,0.100897,0.481162
sub-122,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.340874,0.471595,0.279449,1.325513,0.257164,0.728888,0.050491,0.189493,0.386216,0.000062,1.700466,0.435051,0.033298,1.132255,-1.095355,-0.505648,-0.252955,-0.546832,-1.097018
sub-123,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.269573,0.431476,0.215662,1.387025,0.194354,0.540313,0.043312,0.159300,0.355727,0.000009,1.886812,-1.377173,-0.692313,-0.835927,-0.294126,-1.453884,-0.911021,-0.685214,-0.296368
sub-124,flex_lh_DK40_35_mean_maxTI_optimized,region_lh.insula,0.344406,0.441015,0.261003,1.457316,0.236329,1.034394,0.038146,0.170940,0.398286,0.000079,1.598717,0.524839,-0.519787,0.563101,0.621451,-1.088312,0.007565,-0.501312,-1.534193
